,idDB,Nom,Equip,Funcio,Dorsal
274,242316,Èric Montes,Girona,Defensa,28
275,139472,Álex Granell,Girona,Centrocampista,6
276,131411,Pere Pons,Girona,Centrocampista,8
277,88550,Portu,Girona,Centrocampista,9
278,63904,Borja García,Girona,Centrocampista,10
279,87713,Aday Benítez,Girona,Centrocampista,11
280,230046,Douglas Luiz,Girona,Centrocampista,12
281,124165,Patrick Roberts,Girona,Centrocampista,17
282,178871,Aleix García,Girona,Centrocampista,23
283,441164,Pedro Porro,Girona,Centrocampista,24
284,,Yhoan Andzouana,Girona,Centrocampista,26
285,203151,Kevin Soni,Girona,Centrocampista,27
286,,Valery Fernández,Girona,Centrocampista,34
287,243432,Paik Seung-Ho,Girona,Centrocampista,35
288,49464,Cristhian Stuani,Girona,Delantero,7
289,104448,Anthony Lozano,Girona,Delantero,19
290,52117,Seydou Doumbia,Girona,Delantero,22
291,,Álex Pachón,Girona,Delantero,37
292,,Francisco Rodríguez,Huesca,Entrenador,0
293,38560,Javi Varas,Huesca,Portero,1
294,21062,Roberto Santamaría,Huesca,Portero,13
295,155713,Aleksandar Jovanovic,Huesca,Portero,25
296,89724,Martín Mantovani,Huesca,Defensa,2
297,58637,Xabier Etxeita,Huesca,Defensa,3
298,235798,Adrián Diéguez,Huesca,Defensa,4
299,,Javi Galán,Huesca,Defensa,12
300,88925,Jorge Pulido,Huesca,Defensa,14
301,166138,Carlos Akapo,Huesca,Defensa,15
302,103844,Luisinho,Huesca,Defensa,16
303,88621,Pablo Ínsua,Huesca,Defensa,18
304,89334,Jorge Miramón,Huesca,Defensa,24
305,,José Ignacio Uche,Huesca,Defensa,26
306,,Javier Almerge,Huesca,Defensa,27
307,61319,Juan Aguilera,Huesca,Centrocampista,5
308,109243,Moi Gómez,Huesca,Centrocampista,6
309,90657,David Ferreiro,Huesca,Centrocampista,7
310,195457,Gonzalo Melero,Huesca,Centrocampista,8
311,14028,Camacho,Huesca,Centrocampista,10
312,213572,Christian Rivera,Huesca,Centrocampista,17
313,193450,Juanpi,Huesca,Centrocampista,20
314,,Yangel Herrera,Huesca,Centrocampista,21
315,76744,Damián Musto,Huesca,Centrocampista,23
316,,Javito,Huesca,Centrocampista,28
317,244716,Juan Camilo Hernández,Huesca,Delantero,9
318,97636,Álex Gallar,Huesca,Delantero,11
319,205992,Ezequiel Ávila,Huesca,Delantero,19
320,454317,Enric Gallego,Huesca,Delantero,22
321,,Mauricio Pellegrino,Leganés,Entrenador,0
322,16261,Iván Cuéllar,Leganés,Portero,1
323,121170,Andrés Prieto,Leganés,Portero,13
324,224965,Andriy Lunin,Leganés,Portero,29
325,,David Tejero,Leganés,Portero,31
326,47645,Juanfran,Leganés,Defensa,2
327,112540,Unai Bustinza,Leganés,Defensa,3
328,100867,Diego Reyes,Leganés,Defensa,4
